Time,IS-203 Pressure PSI,IS-203 Temperature C
07/31/2012  06:19:05,13.23,27.07
07/31/2012  06:19:10,13.27,27.08
07/31/2012  06:19:15,13.26,27.09
07/31/2012  06:19:20,13.97,27.11
07/31/2012  06:19:25,13.21,27.12
07/31/2012  06:19:30,13.18,27.12
07/31/2012  06:19:35,13.19,27.13
07/31/2012  06:19:40,13.25,27.14
07/31/2012  06:19:45,13.24,27.14
07/31/2012  06:19:50,13.3,27.14
07/31/2012  06:19:55,13.89,27.14
07/31/2012  06:20:00,13.87,27.15
07/31/2012  06:20:05,13.84,27.17
07/31/2012  06:20:10,13.86,27.2
07/31/2012  06:20:15,13.81,27.22
07/31/2012  06:20:20,13.84,27.24
07/31/2012  06:20:25,13.86,27.25
07/31/2012  06:20:30,13.88,27.25
07/31/2012  06:20:35,13.82,27.25
07/31/2012  06:20:40,13.87,27.25
07/31/2012  06:20:45,13.85,27.24
07/31/2012  06:20:50,13.85,27.24
07/31/2012  06:20:55,13.87,27.25
07/31/2012  06:21:00,13.86,27.27
07/31/2012  06:21:05,13.81,27.28
07/31/2012  06:21:10,13.84,27.27
07/31/2012  06:21:15,13.89,27.27
07/31/2012  06:21:20,13.87,27.25
07/31/2012  06:21:25,13.85,27.24
07/31/2012  06:21:30,13.88,27.22
07/31/2012  06:21:35,13.88,27.2
07/31/2012  06:21:40,13.9,27.17
07/31/2012  06:21:45,13.86,27.15
07/31/2012  06:21:50,13.78,27.13
07/31/2012  06:21:55,13.78,27.12
07/31/2012  06:22:00,13.82,27.13
07/31/2012  06:22:05,13.9,27.15
07/31/2012  06:22:10,13.84,27.18
07/31/2012  06:22:15,13.82,27.22
07/31/2012  06:22:20,13.83,27.25
07/31/2012  06:22:25,13.83,27.29
07/31/2012  06:22:30,13.83,27.32
07/31/2012  06:22:35,13.93,27.36
07/31/2012  06:22:40,13.74,27.41
07/31/2012  06:22:45,13.93,27.47
07/31/2012  06:22:50,13.86,27.54
07/31/2012  06:22:55,13.85,27.62
07/31/2012  06:23:00,13.86,27.7
07/31/2012  06:23:05,13.87,27.78
07/31/2012  06:23:10,13.88,27.87
07/31/2012  06:23:15,13.82,27.96
07/31/2012  06:23:20,13.94,28.06
07/31/2012  06:23:25,13.87,28.17
07/31/2012  06:23:30,13.91,28.27
07/31/2012  06:23:35,13.9,28.37
07/31/2012  06:23:40,13.97,28.46
07/31/2012  06:23:45,13.9,28.56
07/31/2012  06:23:50,13.84,28.64
07/31/2012  06:23:55,13.94,28.73
07/31/2012  06:24:00,13.9,28.82
07/31/2012  06:24:05,13.89,28.9
07/31/2012  06:24:10,13.89,28.99
07/31/2012  06:24:15,14,29.06
07/31/2012  06:24:20,13.91,29.14
07/31/2012  06:24:25,14.03,29.21
07/31/2012  06:24:30,13.97,29.28
07/31/2012  06:24:35,13.89,29.36
07/31/2012  06:24:40,13.95,29.43
07/31/2012  06:24:45,13.96,29.5
07/31/2012  06:24:50,13.99,29.57
07/31/2012  06:24:55,13.97,29.63
07/31/2012  06:25:00,13.95,29.69
07/31/2012  06:25:05,13.99,29.74
07/31/2012  06:25:10,14.03,29.8
07/31/2012  06:25:15,14.02,29.85
07/31/2012  06:25:20,14.03,29.9
07/31/2012  06:25:25,14.03,29.95
07/31/2012  06:25:30,13.97,30
07/31/2012  06:25:35,14.05,30.04
07/31/2012  06:25:40,13.98,30.07
07/31/2012  06:25:45,13.96,30.11
07/31/2012  06:25:50,14.04,30.14
07/31/2012  06:25:55,14.02,30.18
07/31/2012  06:26:00,14.04,30.21
07/31/2012  06:26:05,14,30.25
07/31/2012  06:26:10,14,30.28
07/31/2012  06:26:15,13.99,30.32
07/31/2012  06:26:20,14.04,30.34
07/31/2012  06:26:25,14.09,30.38
07/31/2012  06:26:30,14.05,30.4
07/31/2012  06:26:35,13.97,30.42
07/31/2012  06:26:40,14.02,30.44
07/31/2012  06:26:45,14.02,30.45
07/31/2012  06:26:50,14.04,30.47
07/31/2012  06:26:55,14.11,30.48
07/31/2012  06:27:00,14.04,30.49
07/31/2012  06:27:05,14.01,30.51
